Protein,CRC01-N,CRC01-T
AP5M1,51.0,52.0
AP5S1,26.0,30.0
AP5Z1,82.0,89.0
APAF1,121.0,148.0
APBA1,78.0,78.0
APBA2,37.0,42.0
APBA3,20.0,17.0
APBB1,29.0,29.0
APBB1IP,50.0,61.0
APBB2,59.0,62.0
APBB3,28.0,31.0
APC,385.0,403.0
APC2,203.0,212.0
APCDD1,57.0,60.0
APCDD1L,51.0,65.0
APCS,15.0,15.0
APEH,39.0,35.0
APEX1,43.0,44.0
APEX2,53.0,60.0
APH1A,9.0,9.0
APH1B,12.0,17.0
API5,59.0,55.0
APIP,27.0,25.0
APLF,37.0,44.0
APLN,8.0,7.0
APLNR,17.0,16.0
APLP1,62.0,59.0
APLP2,89.0,91.0
APMAP,42.0,47.0
APOA1,56.0,48.0
APOA2,5.0,4.0
APOA4,54.0,61.0
APOA5,51.0,51.0
APOB,513.0,553.0
APOBEC1,27.0,32.0
APOBEC2,4.0,4.0
APOBEC3A,28.0,30.0
APOBEC3B,7.0,6.0
APOBEC3C,16.0,15.0
APOBEC3D,26.0,32.0
APOBEC3F,37.0,44.0
APOBEC3G,61.0,58.0
APOBEC3H,18.0,17.0
APOBEC4,29.0,27.0
APOBR,117.0,128.0
APOC1,10.0,11.0
APOC2,10.0,6.0
APOC3,14.0,18.0
APOC4,18.0,19.0
APOD,9.0,6.0
APOE,31.0,39.0
APOF,20.0,17.0
APOH,30.0,33.0
APOL1,31.0,22.0
APOL2,29.0,32.0
APOL3,29.0,34.0
APOL4,20.0,19.0
APOL5,49.0,52.0
APOL6,46.0,37.0
APOLD1,20.0,23.0
APOM,21.0,15.0
APOO,18.0,22.0
APOOL,39.0,42.0
APP,63.0,64.0
APPBP2,67.0,65.0
APPL1,78.0,81.0
APPL2,78.0,83.0
APRG1,15.0,18.0
APRT,14.0,17.0
APTX,39.0,32.0
AQP1,3.0,3.0
AQP10,1.0,2.0
AQP11,1.0,1.0
AQP12A,4.0,5.0
AQP12B,8.0,6.0
AQP2,6.0,4.0
AQP3,6.0,6.0
AQP4,22.0,20.0
AQP5,14.0,16.0
AQP5-AS1,6.0,4.0
AQP6,11.0,9.0
AQP7,23.0,25.0
AQP7B,13.0,17.0
AQP8,5.0,2.0
AQP9,3.0,4.0
AQR,151.0,165.0
AR,60.0,64.0
ARAF,75.0,81.0
ARAP1,122.0,123.0
ARAP2,189.0,198.0
ARAP3,137.0,130.0
ARB2A,57.0,60.0
ARB2BP,47.0,46.0
ARC,29.0,39.0
ARCN1,61.0,57.0
AREG,18.0,22.0
AREL1,83.0,81.0
ARF1,6.0,5.0
ARF3,18.0,18.0
ARF4,43.0,38.0
ARF5,21.0,22.0
ARF6,25.0,23.0
ARFGAP1,35.0,42.0
ARFGAP2,52.0,44.0
ARFGAP3,51.0,49.0
ARFGEF1,150.0,158.0
ARFGEF2,203.0,217.0
ARFGEF3,175.0,203.0
ARFIP1,58.0,70.0
ARFIP2,57.0,50.0
ARFRP1,32.0,32.0
ARG1,46.0,51.0
ARG2,32.0,40.0
ARGFX,10.0,13.0
ARGLU1,23.0,26.0
ARHGAP1,44.0,45.0
ARHGAP10,107.0,118.0
ARHGAP11A,110.0,115.0
ARHGAP11B,25.0,22.0
ARHGAP12,120.0,115.0
ARHGAP15,64.0,68.0
ARHGAP17,61.0,59.0
ARHGAP18,90.0,90.0
ARHGAP19,70.0,67.0
ARHGAP20,120.0,115.0
ARHGAP21,203.0,209.0
ARHGAP22,57.0,63.0
ARHGAP23,207.0,221.0
ARHGAP24,94.0,89.0
ARHGAP25,110.0,111.0
ARHGAP26,101.0,111.0
ARHGAP27,68.0,74.0
ARHGAP28,73.0,71.0
ARHGAP29,210.0,214.0
ARHGAP30,76.0,89.0
ARHGAP31,144.0,160.0
